name,brand,url,price,original_price,rating_average,discount,discount_rate,review_count
Camera IP Wifi Trong Nhà EZVIZ C6N 1080p - Hàng Chính Hãng,"""EZVIZ""",https://tiki.vn/product-p41319582.html?spid=48652710,349000,959000,4.7,610000,64,4611
Camera IP Wifi Trong Nhà EZVIZ C6N 1080p (CS-C6N) - Hàng Chính Hãng,"""EZVIZ""",https://tiki.vn/product-p46462092.html?spid=48657149,349000,891000,4.6,542000,61,529
Camera IP Wifi TP-Link Tapo C200 Full HD 1080P Giám sát An Ninh - Hàng Chính Hãng,"""TP-Link""",https://tiki.vn/product-p74500335.html?spid=74500336,459000,899000,4.7,440000,49,2919
Camera IP Wifi Trong Nhà Ezviz Mini CS-C1C-B 1080p - Hàng Chính Hãng,"""EZVIZ""",https://tiki.vn/product-p84866683.html?spid=157218954,436000,990000,4.7,554000,56,542
"Camera Wifi IPC360 Home PC206, ống kính kép 1080P (FHD), màn hình đôi , chống nước IP66 dùng cho ngoài trời (Hàng nhập khẩu)","""IPC360""",https://tiki.vn/product-p272061200.html?spid=273603065,499000,750000,4.6,251000,33,41
"Camera Wifi IPC360 Home PC203, ống kính kép 1080P (FHD), màn hình đôi (Hàng nhập khẩu)","""IPC360""",https://tiki.vn/product-p272391998.html?spid=272392001,780000,780000,4.6,0,0,26
Thẻ nhớ SDXC SanDisk Extreme Pro SDSDXXU-064G U3 V30 64GB 200MB/s New 2022 - Hàng Nhập Khẩu,"""SanDisk""",https://tiki.vn/product-p193717163.html?spid=193717165,315000,315000,5.0,0,0,101
Camera Wifi Yoosee 2 Mắt Xem 2 Màn Hình Cùng Lúc Ngoài Trời - Hàng Nhập Khẩu,"""Yoosee""",https://tiki.vn/product-p262792654.html?spid=270466595,343000,390000,4.5,47000,12,47
Camera IP wifi trong nhà IMOU Ranger 2 2MP/4MP - Hàng Chính Hãng,"""IMOU""",https://tiki.vn/product-p142796515.html?spid=192975507,520000,520000,5.0,0,0,4
"Bộ giá đỡ điện thoại, máy ảnh 3 chân tripod","""OEM""",https://tiki.vn/product-p5452277.html?spid=34160464,65000,65000,4.2,0,0,85
Combo Camera WiFi TP-Link Tapo C200 2MP và Thẻ Nhớ MicroSD Kioxia/Dahua/Lexar 32Gb/64Gb/128Gb - Hàng Chính Hãng,"""TP-Link""",https://tiki.vn/product-p187623126.html?spid=271427917,739000,1339000,4.8,600000,45,159
Camera IP WiFi Ngoài Trời EZVIZ H8 2K (2304 × 1296p) - Hàng chính hãng,"""EZVIZ""",https://tiki.vn/product-p205985107.html?spid=214770147,1146000,2244000,4.8,1098000,49,52
"Camera Wifi IPC360 Home chuôi bóng đèn NDP2-10 1080P (FHD), xoay ngang 360 độ, thu phóng 8 lần (Hàng nhập khẩu)","""IPC360""",https://tiki.vn/product-p272061224.html?spid=273768159,299000,429000,5.0,130000,30,7
"Đầu đọc thẻ nhớ đa năng 4in1 usb 2.0 cho máy ảnh điện thoại Iphone, Samsung, Sony, đầu lọc thẻ SD, MICRO SD, CF, TF, MMC","""OEM""",https://tiki.vn/product-p252768590.html?spid=252768591,24000,35000,5.0,11000,31,1
Camera Thông Minh Xiaomi C200 / C300 / C400 / AW200 / AW300 Bản Quốc Tế - Hàng Chính Hãng FPT,"""Xiaomi""",https://tiki.vn/product-p270214258.html?spid=270214260,634000,950000,4.8,316000,33,8
"Camera Wifi Trong Nhà Yoosee 3.0 Full HD, 3 Râu, Xoay 360 độ , Đàm Thoại 2 Chiều, Cảm Biến Báo Động – Hàng nhập khẩu","""Yoosee""",https://tiki.vn/product-p106641569.html?spid=106641571,230000,299000,4.6,69000,23,567
"Chân Đế Camera Xoay 360 độ, chuyên dùng cho Camera Ezviz C6N Camera Imou A22Ep Camera Kbone H21PW","""OEM""",https://tiki.vn/product-p74610299.html?spid=164076281,6690,6690,5.0,0,0,67
"Camera Yoosee Wifi 2 Mắt Ngoài Trời 2 Màn Hình 5MP Xem Đêm Có Màu, Hỗ Trợ Đàm Thoại 2 Chiều Xoay 360 Độ - Hàng Nhập Khẩu","""Yoosee""",https://tiki.vn/product-p270977170.html?spid=270977171,343000,390000,4.8,47000,12,11
Thẻ nhớ SDHC SanDisk Ultra 120MB/s 32GB - Hàng Nhập Khẩu,"""SanDisk""",https://tiki.vn/product-p261813781.html?spid=261813782,145000,145000,4.5,0,0,5
Thẻ nhớ SDXC SanDisk Extreme Pro SDSDXXD-128G U3 V30 128GB 200MB/s New 2022 - Hàng Nhập Khẩu,"""SanDisk""",https://tiki.vn/product-p194140440.html?spid=194140441,515000,515000,5.0,0,0,64
Thẻ nhớ SDXC SanDisk Extreme U3 V30 64GB 170MB/s SDSDXV2-064G (New 2022) - Hàng Nhập Khẩu,"""SanDisk""",https://tiki.vn/product-p195863820.html?spid=195863822,265000,265000,4.8,0,0,38
Camera IMOU wifi A22EP 1080P 2M xoay 360 độ đàm thoại 2 chiều - Hàng chính hãng,"""IMOU""",https://tiki.vn/product-p242618146.html?spid=170267666,455000,800000,4.7,345000,43,133
" Camera WiFi Xoay 360° Gắn Đui Bóng Đèn, Đàm Thoại Hai Chiều, Báo Động Chống Trộm, Ban Đêm Có Màu, Wifi Không Dây Trong Nhà","""OEM""",https://tiki.vn/product-p214798796.html?spid=271590143,173000,187000,5.0,14000,7,5
[Chân chụp ảnh] Chân đế Tripod Bluetooth cho điện thoại và máy ảnh TTX - 6218 (Kèm túi đựng và remote bluetooth) - Hàng nhập khẩu,"""OEM""",https://tiki.vn/product-p47030777.html?spid=47030778,292000,440000,4.8,148000,34,101
Thẻ nhớ IMOU chuyên dụng cho Camera 95 MB/s Class 10 32GB/64GB - Hàng Chính Hãng,"""IMOU""",https://tiki.vn/product-p153998709.html?spid=153998711,110000,125000,4.8,15000,12,105
Film Instax Mini - Giấy in ảnh Fujifilm cho máy chụp ảnh lấy liền Instax Mini - Hộp 20 tấm - Hàng Chính Hãng,"""Fujifilm""",https://tiki.vn/product-p381162.html?spid=84326569,384000,480000,4.8,96000,20,50
"Chân máy/ Tripod Yunteng VCT 668, chân đế điện thoại và máy ảnh - Hàng chính hãng","""Yunteng""",https://tiki.vn/product-p270527462.html?spid=270527463,541000,800000,4.3,259000,32,3
"Tripod - Chân đế điện thoại, chân đế máy ảnh Yunteng VCT 5208 kiêm giá đỡ có remote Bluetooth điều khiển chụp từ xa","""Yunteng""",https://tiki.vn/product-p114789403.html?spid=156204898,306000,399000,4.8,93000,23,22
Tay cầm chống rung Gimbal DJI OM6 - Osmo Mobile 6 - Hàng Chính Hãng,"""DJI""",https://tiki.vn/product-p270139898.html?spid=198739087,3156000,3322000,4.8,166000,5,36
Camera IP Wifi Ngoài Trời Imou F22P Bullet 2C Full HD 1080P Tặng Phíc Cắm Âm - Hàng Chính Hãng,"""IMOU""",https://tiki.vn/product-p72556060.html?spid=165690260,612000,612000,5.0,0,0,7
"Tripod 3Chân Dùng Cho Máy Chiếu Beecube (Bản Cao Cấp, Nhỏ Gọn)","""OEM""",https://tiki.vn/product-p213960838.html?spid=213960839,250000,300000,4.5,50000,17,4
Gói hút ẩm silica gel 100 gram (10 túi/ bịch) - Hàng chính hãng,"""Secco""",https://tiki.vn/product-p9799302.html?spid=10716664,99000,99000,4.7,0,0,106
Pin sạc Panasonic Eneloop AA 2550mah BK-3HCCE4BT3 (Vỉ 4 viên) (Đen) - Hàng chính hãng,"""Panasonic""",https://tiki.vn/product-p48316743.html?spid=57407315,409000,425000,5.0,16000,4,61
