name,brand,url,price,original_price,rating_average,discount,discount_rate,review_count
Tai Nghe Nhét Tai Có Micro JBL C200SI - Hàng Chính Hãng,"""JBL""",https://tiki.vn/product-p214168962.html?spid=214168963,240000,290000,5.0,50000,17,137
Chuột không dây bluetooth Logitech Signature M650 - Hàng chính hãng,"""Logitech""",https://tiki.vn/product-p176899932.html?spid=160666618,619000,910000,5.0,291000,32,694
Chuột Không Dây Logitech M331 Silent - Hàng Chính Hãng,"""Logitech""",https://tiki.vn/product-p299461.html?spid=49020032,319000,319000,4.8,0,0,2121
Lót chuột máy tính PixLink kích thước 22x18cm hàng chính hãng,"""PIX-LINK""",https://tiki.vn/product-p174593826.html?spid=174593829,18000,39000,4.8,21000,54,96
"Chuột không dây Logitech B175 - đầu thu USB 2.4Ghz, pin 1 năm, nhỏ gọn, thiết kế thuận cả 2 tay, phù hợp PC/ Laptop - Hàng chính hãng","""Logitech""",https://tiki.vn/product-p389145.html?spid=11180693,199000,199000,4.5,0,0,75
Que Chọc Sim - Hàng nhập khẩu,"""OEM""",https://tiki.vn/product-p8190056.html?spid=186755185,5000,5000,5.0,0,0,1
Ốp lưng dẻo cho iPhone 8 / SE 2020 / 8 Plus / X / XS / XR / XS Max / 11 / 11 Pro / 11 Pro Max / 12 / 12 Pro / 12 Pro Max / 12 Mini / 13 / 13 Pro / 13 Pro Max / 13 Mini / 14 / 14 Pro / 14 Pro Max / 14 Max -Hàng chính hãng-Photodesign VN,"""Photodesign VN""",https://tiki.vn/product-p195277333.html?spid=195277357,149000,250000,4.7,101000,40,218
Adapter Sạc 1 Cổng USB Type-C 20W - Trắng,"""Apple""",https://tiki.vn/product-p123836523.html?spid=71523845,480000,790000,5.0,310000,39,3065
Tai nghe nhét tai có dây jack 3.5mm Remax RM-512 (New Package) - Hàng chính hãng,"""Remax""",https://tiki.vn/product-p110850007.html?spid=141298218,76000,80000,4.8,4000,5,21
"Kính Cường Lực KingKong Có Khung Tự Dán, Ngăn Bụi Loa Dành Cho iPhone - Full Hộp, Dán Full Màn - Hàng Chính Hãng","""wekome""",https://tiki.vn/product-p227746564.html?spid=243562095,121997,134198,5.0,12201,9,18
Tai Nghe Apple EarPods Cổng USB-C - MTJY3,"""Apple""",https://tiki.vn/product-p272420799.html?spid=272420800,490000,790000,5.0,300000,38,28
Apple AirPods 2 - Hộp Sạc Thường,"""Apple""",https://tiki.vn/product-p123838761.html?spid=12567799,2690000,5390000,4.8,2700000,50,2501
Apple AirPods 3 2022 sạc Lightning - MPNY3,"""Apple""",https://tiki.vn/product-p197665885.html?spid=197665886,3990000,5390000,4.8,1400000,26,183
Tai nghe bluetooth nhét tai chống ồn cao cấp V5.0 chính hãng dùng cho iPhone Samsung OPPO VIVO HUAWEI XIAOMI tai nghe không dây - Hàng Chính Hãng PKCB,"""PKCB""",https://tiki.vn/product-p109393113.html?spid=109393114,239000,500000,4.5,261000,52,1182
[Miễn Phí 12 Tháng] SIM MAX DATA 4G VIETNAMOBILE 6GB/Ngày. Trọn Gói 1 Năm - Hàng Chính Hãng,"""Vietnamobile""",https://tiki.vn/product-p158868703.html?spid=158868704,355000,650000,4.5,295000,45,386
Tai Nghe Apple EarPods Cổng Lightning - MMTN2,"""Apple""",https://tiki.vn/product-p1935009.html?spid=170280931,480000,790000,4.8,310000,39,1047
Adapter Sạc Anker 313 / 311 Charger Gen 2 30W 1 Cổng Type-C A2639 - Hàng Chính Hãng,"""ANKER""",https://tiki.vn/product-p199249541.html?spid=199249545,283000,500000,5.0,217000,43,113
Kính Cường Lực Chống Nhìn Trộm KingKong Dành Cho iPhone - Full Hộp - Dán Full Màn - Hàng Chính Hãng ,"""Kingkong""",https://tiki.vn/product-p80857582.html?spid=189469022,47000,47000,4.5,0,0,37
Tai Nghe Baseus Encok 3.5mm lateral in-ear Wired Earphone H17 - Hàng Chính Hãng,"""Baseus""",https://tiki.vn/product-p181185263.html?spid=271974472,143000,259000,4.5,116000,45,8
"Chuột Không Dây Bluetooth PIX-LINK P100B Chống Ồn, DPI 1600, Chế Độ Kép Wireless Usb 2.4Ghz, Bluetooth Dùng Cho Macbook, Laptop, PC - Hàng chính Hãng","""PIX-LINK""",https://tiki.vn/product-p174593860.html?spid=174593865,135000,299000,4.6,164000,55,265
Tai Nghe Bluetooth Lenovo Livepods LP40 TWS Hàng Chính Hãng,"""Lenovo""",https://tiki.vn/product-p185409732.html?spid=271780839,359000,359000,0.0,0,0,0
Chuột Không Dây Logitech M221 - Hàng Chính Hãng,"""Logitech""",https://tiki.vn/product-p299431.html?spid=31296701,235000,269000,4.8,34000,13,1521
Apple AirPods Pro 2 Lightning - MQD83ZP/A,"""Apple""",https://tiki.vn/product-p197665467.html?spid=197665468,4850000,6990000,4.8,2140000,31,222
Tai Nghe Nhét Tai Sony MDR-EX155AP - Hàng Chính Hãng,"""Sony""",https://tiki.vn/product-p855600.html?spid=858826,349000,390000,4.7,41000,11,1621
"Hub USB 3.0 FIRO Và Hub Type C FIRO - Bộ Chia Cổng USB FIRO - HUB Chuyển Đổi Dành Cho Laptop, PC - Hỗ Trợ Sạc Pin, Kết Nối Đa Năng Ổ Cứng , Bàn Phím, Chuột, Máy In, Thiết Bị Ổ Chia USB - FIRO Type C Adapter 4in1 - Hàng Chính Hãng","""FIRO""",https://tiki.vn/product-p262034792.html?spid=262034793,140000,319000,4.8,179000,56,33
Bộ sạc nhanh cho IP công suất 18W Remax RP-U37 - Hàng chính hãng,"""Remax""",https://tiki.vn/product-p216238849.html?spid=272917423,170000,189000,0.0,19000,10,0
Cáp sạc Baseus Cafule sạc nhanh dùng cho iPhone - Hàng chính hãng,"""Baseus""",https://tiki.vn/product-p142439870.html?spid=142439874,69000,74000,4.8,5000,7,467
"Tai Nghe Bluetooth True Wireless AMOI F9 Cảm Ứng Vân Tay, Nâng Cấp Dock Sạc có Led Báo Pin Kép - Hàng Nhập Khẩu","""AMOI""",https://tiki.vn/product-p191684818.html?spid=210637817,85000,94000,4.5,9000,10,1105
Chuột Không Dây Sạc Pin 2.4GHz PIX-LINK P1 Siêu Mỏng Không Gây Tiếng Ồn Sạc 1 Lần Dùng 1 Tuần Cho Laptop Macbook PC Tivi - Hàng Chính Hãng,"""PIX-LINK""",https://tiki.vn/product-p174593880.html?spid=174593886,76000,159000,4.7,83000,52,63
Adapter Sạc Anker 511 Charger Nano 3 30W 1 Cổng Type-C A2147 - Hàng Chính Hãng,"""ANKER""",https://tiki.vn/product-p199525542.html?spid=199525546,308000,500000,5.0,192000,38,113
Thẻ Nhớ microSD SanDisk Ultra 64GB UHS-I - 100MB/s (New 2020) - Hàng Nhập Khẩu,"""SanDisk""",https://tiki.vn/product-p73315307.html?spid=73315308,119000,119000,4.8,0,0,971
"Giá Đỡ Laptop Hợp Kim Nhôm Cao Cấp Dễ Dàng Gấp Gọn, Giúp Tản Nhiệt Laptop, Máy Tính Xách Tay - 07 Nấc Điều Chỉnh Góc Độ. Hàng Chính Hãng Tamayoko","""Tamayoko""",https://tiki.vn/product-p201437397.html?spid=113829752,196000,250000,4.7,54000,22,290
Cáp sạc và truyền dữ liệu cho IP Remax RC-138i - Hàng chính hãng,"""Remax""",https://tiki.vn/product-p251518027.html?spid=263272322,48999,54999,0.0,6000,11,0
"Pad Lót Chuột Nhiều Hình-Giao màu,hình ngẫu nhiên","""OEM""",https://tiki.vn/product-p46193718.html?spid=67199957,32900,35000,4.6,2100,6,33
Giá đỡ laptop nhôm cao cấp có thể gấp gọn dành cho Macbook Ipad Surface và máy tính xách tay,"""OEM""",https://tiki.vn/product-p273047537.html?spid=107982908,147250,155000,4.7,7750,5,47
Chuột Không Dây Logitech M220 Silent Plus - Hàng Chính Hãng,"""Logitech""",https://tiki.vn/product-p10198980.html?spid=247855978,243000,243000,5.0,0,0,6
Bút laser trình chiếu Slide VSON N35 - Hàng nhập khẩu,"""VSON""",https://tiki.vn/product-p24865067.html?spid=104886482,152000,173000,4.8,21000,12,67
Tai Nghe Nhét Tai Sony Fontopia MDR-E9LP - Hàng Chính Hãng,"""Sony""",https://tiki.vn/product-p125781.html?spid=125798,140000,149000,0.0,9000,6,0
"Lót Chuột FIRO - Miếng Lót Chuột Cỡ Lớn 80cmx40cm - Tấm Lót Chuột, Pad Chuột FIRO Sử Dụng 2 Mặt Tiện Lợi - Chất Liệu Da PU Cao Cấp - Thiết Kế Sang Trọng - Chống Nhăn, Chống Nước, Chống Bám Bụi - Hàng Chính Hãng","""FIRO""",https://tiki.vn/product-p262478106.html?spid=262478114,118000,265000,4.7,147000,55,15
"Dây Cáp Sạc Nhanh Đa Năng 4 in 1 Baseus rapid series 4 in 1 (3.5A, 1.2M, Fast charge 4 in 1 Cable) - 2 đầu dùng cho iPhone - 1 đầu TypeC - 1 đầu micro usb - Hàng Chính Hãng","""Baseus""",https://tiki.vn/product-p152464834.html?spid=243037866,150000,300000,4.8,150000,50,44
Apple Magic Mouse 2021- Silver,"""Apple""",https://tiki.vn/product-p135151945.html?spid=135151946,1450000,3490000,5.0,2040000,58,258
"Tấm Lót Chuột, Thảm Da Trải Bàn Làm Việc VinBuy, Miếng Di Chuột Cỡ Lớn 40cmx80cm - Hàng Chính Hãng ","""VinBuy""",https://tiki.vn/product-p137864606.html?spid=193777817,95000,150000,4.7,55000,37,250
"Tai Nghe Bluetooth Không Dây Cao Cấp EQ1 Pin 7H Âm Thanh Sống Động Bass Chắc Cảm Ứng, Có Mic Đèn Led Sang Trọng - Hàng Chính Hãng","""Hoco""",https://tiki.vn/product-p271995193.html?spid=271995199,313000,500000,4.8,187000,37,26
Chuột Bluetooth Silent Logitech Pebble M350 - Hàng chính hãng,"""Logitech""",https://tiki.vn/product-p67907870.html?spid=105362052,436000,599000,5.0,163000,27,436
Cáp Sạc ANKER PowerLine+ II USB-C to Lightning - Phiên Bản Marvel - A9551 / A9548 - Hàng Chính Hãng,"""ANKER""",https://tiki.vn/product-p195300886.html?spid=195300892,333000,550000,5.0,217000,39,87
