name,brand,url,price,original_price,rating_average,discount,discount_rate,review_count
Vòng Dây Đeo Thể Thao Năng Động Cá Tính NBA DD101,"""OEM""",https://tiki.vn/product-p186359295.html?spid=186359296,25500,30000,5.0,4500,15,2
Bông Tai Nam Khoen Tròn Loại Kẹp Ko Cần Bấm Lỗ Tai Chất Liệu Thép Titan Ko Rỉ Ko Dị Ứng TT 0851 - 1 Cặp,"""OEM""",https://tiki.vn/product-p38645201.html?spid=75345982,59000,59000,4.7,0,0,29
Khuyên tai mặt hình hoa đính ngọc trai trắng phong cách Hàn Quốc,"""OEM""",https://tiki.vn/product-p208735471.html?spid=208735472,33000,33000,0.0,0,0,0
Pin CR2032 Maxell Lithium 3V vỉ 5 viên,"""Maxell""",https://tiki.vn/product-p72006539.html?spid=111066493,32000,32000,4.5,0,0,19
Đồng Hồ Thủy Quân Lục Chiến SANDA 739 - Tích Hợp 2 Máy Điện Tử & Quartz Chạy Song Song - Phong Cách Thể Thao Sang Trọng,"""SANDA""",https://tiki.vn/product-p199142753.html?spid=199142858,295000,295000,4.7,0,0,45
"[Da Thật] Dây Đồng Hồ Da Bò Khóa Bướm Chống Gẫy Dây Kèm Hộp Đựng Bằng Gỗ Và Dụng Cụ Thay Dây (Size 18mm, 20mm, 22mm, 24mm) – Chính Hãng VinBuy ","""VinBuy""",https://tiki.vn/product-p94997356.html?spid=94997368,109000,220000,4.3,111000,50,235
Dây đồng hồ da bò chống nước cao cấp YE-009,"""OEM""",https://tiki.vn/product-p7799222.html?spid=52334068,45000,45000,4.5,0,0,306
Vòng tay dâu tằm,"""OEM""",https://tiki.vn/product-p22976410.html?spid=22976414,25000,25000,4.1,0,0,9
Đồng hồ thể thao nam Skmei 1299 chống nước siêu bền,"""SKMEI""",https://tiki.vn/product-p2854757.html?spid=49500317,229000,229000,4.7,0,0,66
Đồng Hồ Trẻ Em Cho Bé Trai SKMEI 1163 - DHA434,"""SKMEI""",https://tiki.vn/product-p2888357.html?spid=25745838,179000,199000,4.3,20000,10,83
Đồng Hồ Nam Thể Thao SKMEI 1251 - DHA504 - TẶNG HỘP SẮT,"""SKMEI""",https://tiki.vn/product-p4142447.html?spid=100144657,229000,229000,4.8,0,0,70
Bông Tai Nam Nữ Đeo 2 Kiểu Chất Liệu Thép Titan Ko Đen Cao Cấp TT 2076 - 1 Cặp,"""OEM""",https://tiki.vn/product-p42194457.html?spid=144278435,68000,68000,4.7,0,0,15
Pin Đồng hồ đeo tay Maxell SR621SW 1.55V 364 vỉ 5 viên,"""Maxell""",https://tiki.vn/product-p72095605.html?spid=72095606,55000,55000,5.0,0,0,116
"Cuộn dây co giãn xỏ vòng tay, đính cườm, xâu vòng cổ, xâu chuỗi, đàn hồi tốt, siêu bền","""Trầm Hương Hà Xá""",https://tiki.vn/product-p192880293.html?spid=217547465,29000,58000,4.7,29000,50,41
"[5 Mét] Dây Cước Co Giãn Trong Suốt USA Magicline Dùng Xỏ Vòng Tay, Chuỗi Hạt, Trang Sức Lõi 0.6MM/ 0.7MM /0.8MM/1MM - Bead Art","""OEM""",https://tiki.vn/product-p194449182.html?spid=194449184,11000,22000,3.8,11000,50,13
Dây đồng hồ cao su silicon cao dấp dành cho Xiaomi Mi watch,"""OEM""",https://tiki.vn/product-p176071770.html?spid=176071797,58800,58800,4.6,0,0,5
Đồng hồ Trẻ Em Cho Bé Trai SKMEI 1266 - DHA487 ,"""SKMEI""",https://tiki.vn/product-p2986081.html?spid=99039399,229000,229000,4.7,0,0,78
Vòng tay chuỗi tràng 108 hạt phong thủy trầm hương HÀ XÁ vòng đeo tay râu đá màu mệnh kim mộc thủy hỏa thổ may mắn tài lộc,"""Trầm Hương Hà Xá""",https://tiki.vn/product-p194570978.html?spid=204038384,199000,398000,5.0,199000,50,63
Vòng tay inox nam trơn hở hai đầu bản 6mm,"""OEM""",https://tiki.vn/product-p177787632.html?spid=177787634,120000,120000,5.0,0,0,1
"Dây Chun Xâu Vòng Tay, Chuỗi Hạt - Dây Co Giãn 4 Chiều Cực Kì Bền Chắc - (5 MÉT )","""Xưởng Mộc Việt""",https://tiki.vn/product-p113403111.html?spid=113403112,99000,99000,4.7,0,0,55
Set 6 hoa tai kiểu dáng đơn giản phong cách Hàn Quốc ,"""OEM""",https://tiki.vn/product-p44295045.html?spid=44295049,24000,32000,4.5,8000,25,10
Dây đồng hồ thép không gỉ dây mesh cao cấp YE-008,"""OEM""",https://tiki.vn/product-p7796951.html?spid=55590644,130000,130000,4.7,0,0,220
Miband 7 Pro - Dây Đeo Silicon Cho Xiaomi Miband 7 Pro,"""OEM""",https://tiki.vn/product-p229697033.html?spid=229697073,39000,39000,5.0,0,0,2
Vòng cổ Chuỗi Hạt Ngọc Trai Giả Nhiều Lớp Cho Nữ,"""OEM""",https://tiki.vn/product-p217523357.html?spid=217523358,64000,70000,5.0,6000,9,1
Dây đeo cho Garmin Forerunner 965/ 965S/ 265/ 265S/ 255/255S/ 245/ 645/Vivomove/ Vivoactive 3/4/ 2S/3S/4S/ Venu 2/ SQ2 (DC),"""OEM""",https://tiki.vn/product-p272123027.html?spid=272123039,139000,139000,0.0,0,0,0
"Dây chuyền nam, vòng cổ titan kiểu mì dẹp 3mm cho nam và nữ","""No Brand""",https://tiki.vn/product-p198069694.html?spid=198069698,52000,52000,5.0,0,0,1
Bông tai nữ viền cong xoắn ôm tai phụ kiện trang sức đẹp,"""OEM""",https://tiki.vn/product-p205855831.html?spid=205855832,44000,44000,0.0,0,0,0
Vòng dâu tằm gốc cho bé yêu của mẹ quà cho bé quà cho mẹ vòng tay cho bé dâu tằm gốc 100% ,"""OEM""",https://tiki.vn/product-p207294576.html?spid=207294577,30100,35000,5.0,4900,14,2
Đồng Hồ Nam Casio F91W-1DG Chính Hãng,"""Casio""",https://tiki.vn/product-p27813965.html?spid=41415633,369000,492000,4.7,123000,25,161
Dây đồng hồ nam da cá sấu đốt tre Bụi Leather D103 - Hàng khâu tay thủ công cao cấp - Bảo hành 12 tháng,"""Bụi Leather""",https://tiki.vn/product-p143838450.html?spid=143838468,235000,320000,4.5,85000,27,87
Vòng tay tròn đơn phong thủy trầm hương HÀ XÁ đeo tay nam nữ may mắn tài lộc,"""Trầm Hương Hà Xá""",https://tiki.vn/product-p204212145.html?spid=191314031,99000,198000,5.0,99000,50,43
Dây đồng hồ cao su Sikai cao cấp 22mm,"""OEM""",https://tiki.vn/product-p176073667.html?spid=176073675,59000,59000,4.8,0,0,9
"Hộp xoay đồng hồ 4 chế độ xoay - Hộp đựng 2 đồng hồ cơ, lên dây cót đồng hồ cơ","""OEM""",https://tiki.vn/product-p97902357.html?spid=203506163,859000,859000,4.7,0,0,54
Bông tai nam inox khuyên tròn 10mm BT233 - 2 chiếc,"""OEM""",https://tiki.vn/product-p7804969.html?spid=20394219,35000,35000,4.7,0,0,52
Vòng Tay Nam Nữ Đẹp | Vòng Tay Titan Nữ Nam,"""OEM""",https://tiki.vn/product-p207341032.html?spid=107556766,79000,79000,0.0,0,0,0
Dây Da Đồng hồ Da Bò thật Size Nữ Nhiều Màu [Tặng Hộp Gỗ],"""OEM""",https://tiki.vn/product-p68427641.html?spid=68427643,120000,120000,4.5,0,0,99
Dây đeo dành cho Samsung Watch 6/ 6 Classic/ 5/ 5 Pro/ 4/ 4 Classic (DB),"""OEM""",https://tiki.vn/product-p243096191.html?spid=243096193,130000,130000,0.0,0,0,0
Vòng Tay Trầm Hương 108 Hạt (Nữ) | Trầm Tốc Lào Tự Nhiên 100%,"""OEM""",https://tiki.vn/product-p54815750.html?spid=58176214,94000,94000,4.6,0,0,17
Dụng Cụ Thay Dây Đồng Hồ 2 Đầu,"""OEM""",https://tiki.vn/product-p47101179.html?spid=161979186,110000,110000,4.5,0,0,7
Dây Đeo SILICON dành Cho Huawei band 7 Chất Lượng cao,"""OEM""",https://tiki.vn/product-p188482266.html?spid=188482301,59000,59000,4.0,0,0,1
"Khuyên Tai Nam Không Cần Bấm Lỗ GIÁ 1 CHIẾC, Camcamvintage Khuyên Tai Kẹp Nhiều Lựa Chọn Chữ thập, Ngôi sao, Thánh giá","""OEM""",https://tiki.vn/product-p208643088.html?spid=208643155,19000,19000,4.3,0,0,6
Khuyên tai Bông tai Hoa tai Classy hoa độc đáo dễ thương PK1602,"""OEM""",https://tiki.vn/product-p270060775.html?spid=270060783,7250,7250,0.0,0,0,0
Nước Rửa Bạc Kèm Que Đánh Bóng Trang Sức Bạc An Toàn Tại Nhà - Bảo Ngọc Jewelry,"""Bảo Ngọc Jewelry""",https://tiki.vn/product-p198123010.html?spid=198123014,30000,30000,0.0,0,0,0
Đồng hồ nam lịch lãm doanh nhân thành đạt,"""OEM""",https://tiki.vn/product-p202837367.html?spid=202837369,280000,280000,1.0,0,0,1
Pin Đồng hồ đeo tay Maxell SR920SW 1.55V 371 vỉ 5 viên,"""Maxell""",https://tiki.vn/product-p72095740.html?spid=72095741,80000,80000,5.0,0,0,64
Dây đeo Xiaomi Redmi Watch 2 Lite (DMILI2),"""OEM""",https://tiki.vn/product-p150602678.html?spid=150602682,120000,120000,4.5,0,0,21
Máy khử từ đồng hồ và vật dụng nhiễm từ,"""OEM""",https://tiki.vn/product-p106390205.html?spid=106390214,140000,140000,5.0,0,0,1
Thẻ Thay Pin Miễn Phí Trọn Đời tại TP-Watch | Battery Replacement Card,"""OEM""",https://tiki.vn/product-p271711821.html?spid=271711822,315000,315000,0.0,0,0,0
Đồng Hồ Nam OLEVS-2871 Phong Cách Doanh Nhân - Lịch Trăng Sao - Chạy Đủ 6 Kim - Hàng Chính Hãng,"""OLEVS""",https://tiki.vn/product-p74234330.html?spid=74234334,790000,790000,4.6,0,0,131
Dây đồng hồ da bò Vintage Bụi Leather D111 - Da thật khâu tay thủ công cao cấp - Bảo hành 12 tháng,"""Bụi Leather""",https://tiki.vn/product-p143960604.html?spid=143960620,212000,327000,4.5,115000,35,142
Dây đeo cho Miband 7 - Mi jobs (DMJ6),"""OEM""",https://tiki.vn/product-p189676848.html?spid=189676850,40000,40000,1.0,0,0,1
Dây đồng hồ da bò có vân cao cấp,"""OEM""",https://tiki.vn/product-p21754311.html?spid=21754333,46000,46000,4.6,0,0,414
"Cuộn Dây Cước Co Giãn Trong Suốt USA Magicline Dùng Xỏ Vòng Tay, Chuỗi Hạt, Trang Sức Lõi 0.6MM/ 0.7MM /0.8MM/ 1MM - Bead Art","""OEM""",https://tiki.vn/product-p194448358.html?spid=194448364,106000,212000,5.0,106000,50,7
Bông tai nam kẹp vành không cần bấm lỗ có nhiều mẫu lựa chọn,"""OEM""",https://tiki.vn/product-p52469205.html?spid=52469209,35000,35000,4.7,0,0,208
Hộp Đựng Đồng Hồ Cơ 2 Xoay SAIKE SAIKE 770 Vỏ Gỗ Màu Đen,"""SAIKE SAIKE""",https://tiki.vn/product-p177809755.html?spid=177809756,888000,950000,3.3,62000,7,3
Bông Tai Nam Nữ 1 Hạt Đá  Chất Liệu Thép Titan Không Đen Không Dị Ứng TT 1689,"""OEM""",https://tiki.vn/product-p37139753.html?spid=73599073,39900,39900,4.5,0,0,70
Nước rửa trang sức bạc PDJ - Trang sức PDJ  - dung tích 120ml,"""PDJ""",https://tiki.vn/product-p156262628.html?spid=156262629,70000,70000,4.5,0,0,24
Dây silicon khóa nam châm ngàm cong 20mm dành cho đồng hồ thông minh,"""OEM""",https://tiki.vn/product-p208645115.html?spid=208645146,105000,105000,5.0,0,0,3
Vòng Đeo Tay Thép Titan Phối Khóa Nam Châm Hình Trái Tim Cho Cặp Đôi,"""OEM""",https://tiki.vn/product-p194807879.html?spid=194807880,30000,30000,5.0,0,0,3
Dây chuyền trái tim nhỏ xinh xắn dễ thương dành cho nữ,"""OEM""",https://tiki.vn/product-p43043389.html?spid=273473714,34000,40000,3.9,6000,15,16
"Đồng Hồ Nam Chính Hãng OLEVS, Tặng Hộp Đựng Chính Hãng, Size Mặt 39mm, Mặt Kính Chống Trầy Xước, Chống Nước 3ATM Tốt, Đồng Hồ Nam Dây Da Kiểu Dáng Sang Trọng, Nam Tính, Bảo Hành 12 Tháng","""OLEVS""",https://tiki.vn/product-p113957423.html?spid=113957427,479000,479000,4.8,0,0,207
Dây Đồng Hồ Cao Su Mềm Chống Nước Thay Thế Cho Đồng Hồ Đeo Tay,"""OEM""",https://tiki.vn/product-p106390176.html?spid=106390340,65000,65000,4.8,0,0,29
Đồng Hồ Nam Máy Cơ Tevise 795A,"""TEVISE""",https://tiki.vn/product-p50090608.html?spid=52886484,475000,475000,4.5,0,0,21
Vòng tay nam nữ 108 hạt 6 ly gỗ đàn hương,"""OEM""",https://tiki.vn/product-p12737657.html?spid=76551678,85000,85000,4.6,0,0,28
"Đồng hồ Nam ROMATIC 8871 Đơn Giản Sang Trọng, Khóa Bướm, Dây Thép Cao Cấp","""OEM""",https://tiki.vn/product-p195926629.html?spid=195926631,235000,235000,4.0,0,0,4
Bông Tai Nam Khoen Tròn Sơn Tùng Chất Liệu Thép Titan Ko Rỉ Ko Dị Ứng TT 0861 - 1 cặp,"""OEM""",https://tiki.vn/product-p37769268.html?spid=46598988,35000,35000,4.8,0,0,71
Vòng tay chỉ đỏ con mèo may mắn,"""OEM""",https://tiki.vn/product-p33630695.html?spid=33630696,29000,29000,5.0,0,0,30
Hộp 4 xoay 6 tĩnh Jqueen cao cấp,"""OEM""",https://tiki.vn/product-p252601248.html?spid=252601464,2990000,2990000,5.0,0,0,1
Đồng hồ thể thao nam Skmei 1299(1041) chống nước dây siêu bền,"""SKMEI""",https://tiki.vn/product-p184475930.html?spid=184475938,129000,129000,5.0,0,0,7
Pin CR2032 Nhật Bản Hàng Cao Cấp 3V Date 2032,"""OEM""",https://tiki.vn/product-p201215340.html?spid=201215342,30000,30000,0.0,0,0,0
Dây chuyền | Dây chuyền nữ | Dây Chuyền Bạc S925 Đá Aqua Cho Nữ - DB2365 - Bảo Ngọc Jewelry,"""Bảo Ngọc Jewelry""",https://tiki.vn/product-p48223376.html?spid=48223377,375000,375000,4.6,0,0,104
Combo 2 dụng cụ thay dây đồng hồ - Cây thay dây đồng hồ,"""OEM""",https://tiki.vn/product-p248903207.html?spid=254074664,8999,8999,0.0,0,0,0
Dụng cụ mở nắp đáy đồng hồ hai chân - Dụng cụ sửa chữa đồng hồ,"""OEM""",https://tiki.vn/product-p178027025.html?spid=178027026,21000,21000,3.7,0,0,7
Vỉ 5 Viên Pin Đồng Hồ SR626SW / 377 Maxell Nhật Bản 1.55V Cho Đồng Hồ Đeo Tay,"""Maxell""",https://tiki.vn/product-p201282410.html?spid=205509981,55000,55000,5.0,0,0,1
"Dây Chuyền Nữ Bạc Đính Đá Diamond Cao Cấp - DC0000009 - Vòng Cổ Nữ S925 Họa Tiết Sang Chảnh, Quý Phái","""OEM""",https://tiki.vn/product-p77154649.html?spid=82918862,79000,79000,4.6,0,0,9
"Dây Đồng Hồ Da Bò Thật Da Lộn Nubuck nhiều màu, đủ size 18mm - 19mm - 20mm - 21mm - 22mm","""OEM""",https://tiki.vn/product-p272468752.html?spid=272468758,91000,91000,0.0,0,0,0
GIÁ HỦY DIỆT Dây đồng hồ HUBLOT cao su vân hạt case 42 size dây 19 - 25 - 22,"""OEM""",https://tiki.vn/product-p106393801.html?spid=106393820,150000,150000,5.0,0,0,3
Dây chuyền nam dù,"""OEM""",https://tiki.vn/product-p51110116.html?spid=51110117,69000,75000,3.0,6000,8,5
Dây Da Đồng Hồ Size 18mm 20mm 22mm Da Bò thật ,"""OEM""",https://tiki.vn/product-p82412853.html?spid=82412947,130000,130000,4.8,0,0,20
Hoa tai Chiếc lá,"""OEM""",https://tiki.vn/product-p52592108.html?spid=52592109,23000,30000,4.6,7000,23,18
Khuyên tai nam Titan cá tính,"""OEM""",https://tiki.vn/product-p29138413.html?spid=29138421,35000,35000,4.7,0,0,30
Dây Đồng Hồ Vải Dù Bọc Da - Dây Đeo Đồng Hồ Nam 18mm 20mm 22mm 24mm,"""OEM""",https://tiki.vn/product-p248902703.html?spid=248902921,70000,70000,5.0,0,0,1
Dây đeo Huawei Watch 4/ 4 Pro/ 3/ 3 Pro/ GT2/ GT2e/ GT2 Pro/ GT (DG),"""OEM""",https://tiki.vn/product-p150205193.html?spid=150205195,180000,180000,4.6,0,0,5
Đồng Hồ Trẻ Em SKMEI 1485 Chống Nước - DHA631,"""SKMEI""",https://tiki.vn/product-p9724296.html?spid=26048097,159000,175000,4.2,16000,9,21
Đồng hồ nam DEYROS thiết kế thể thao dây thép lưới đen chạy lịch ngày cao cấp Sporty Design,"""DEYROS""",https://tiki.vn/product-p169577869.html?spid=169577870,139000,278000,4.7,139000,50,14
[Ảnh Thật] Dây đeo silicon 20mm 22mm chốt thông minh cho đồng hồ thông minh,"""OEM""",https://tiki.vn/product-p207779010.html?spid=207779024,88000,88000,4.0,0,0,1
(TẶNG CHỐT VÀ DỤNG CỤ THAY DÂY) Dây đồng hồ kiểu lưới(dây mesh) thép không gỉ size 18mm 20mm 22mm ảnh thật 100%,"""OEM""",https://tiki.vn/product-p106393714.html?spid=106393840,100000,100000,5.0,0,0,4
"Khoá Bướm Dây Đồng Hồ Loại Khoá Bật, Có Vân Chất Liệu Thép 316L Cao Cấp Nhiều Màu, Size 16, 18, 20","""OEM""",https://tiki.vn/product-p174529251.html?spid=174529275,95000,95000,5.0,0,0,1
"Dây đeo cho Miband 6, Mi band 5 - Mijobs (DMJ6)","""OEM""",https://tiki.vn/product-p137940304.html?spid=137940306,65000,65000,4.1,0,0,7
Đồng hồ nam dây da Casio Edifice chính hãng EFR-526L-1AVUDF (43mm),"""Casio""",https://tiki.vn/product-p74172795.html?spid=79239244,2515000,3356000,4.8,841000,25,14
