name,brand,url,price,original_price,rating_average,discount,discount_rate,review_count
"Combo 4 quần lót nam Boxer sợi cạp 1cm sợi tre tự nhiên mềm mịn thấm hút mồ hôi, co giãn 4 chiều MRM Manlywear - Màu ngẫu nhiên","""MRM Manlywear""",https://tiki.vn/product-p31638135.html?spid=31638138,245000,340000,4.7,95000,28,1253
"Quần đùi short gió nam thể thao Basic trẻ trung năng động, thoáng mát co giãn 4 chiều MRM Manlywear","""MRM Manlywear""",https://tiki.vn/product-p99958075.html?spid=99958305,119000,199000,4.7,80000,40,500
Áo thun nam Cotton Compact Premium trẻ trung năng động thấm hút mồ hôi co giãn 4 chiều MRM Manlywear,"""MRM Manlywear""",https://tiki.vn/product-p176250783.html?spid=176250798,139000,249000,4.8,110000,44,151
"Set 2 quần đùi nam, quần Short Gió nam thể thao Basic trẻ trung năng động, thoáng mát co giãn 4 chiều MRM Manlywear","""MRM Manlywear""",https://tiki.vn/product-p99968881.html?spid=99968931,245000,399000,4.8,154000,39,575
Combo 4 quần lót nam tam giác Bamboo Organic mềm mịn thoáng mát thấm hút mồ hôi - MRM Manlywear - Màu Ngẫu Nhiên,"""MRM Manlywear""",https://tiki.vn/product-p31637590.html?spid=31637594,239000,340000,4.7,101000,30,827
COmbo 5 quần ĐÙI May 10,"""May 10""",https://tiki.vn/product-p67538621.html?spid=67538629,118000,118000,4.6,0,0,4775
"Hộp 4 quần boxer nam thun lạnh, quần lót nam co dãn 4 chiều- Formen Shop- FMQS017","""ARADO FASHION""",https://tiki.vn/product-p172210350.html?spid=172210358,139000,280000,4.7,141000,50,196
Áo Khoác Kaki Nam Hai Lớp Simple Cao Cấp ShopN6-KK35,"""N6""",https://tiki.vn/product-p16712370.html?spid=16712385,169000,245000,3.9,76000,31,1151
"Áo Polo Nam cổ bẻ TSIMPLE thun có cổ tay lỡ vải cá sấu cotton phong cách trẻ trung, chuẩn form, nhiều màu","""Tsimple""",https://tiki.vn/product-p99183754.html?spid=99183768,149000,170000,4.7,21000,12,585
"Combo 5 quần sịp boxer chất cotton mềm mịn, thoải mái, nhiều màu - FORMEN SHOP - FMCB5QS007","""ARADO FASHION""",https://tiki.vn/product-p56614642.html?spid=56614646,179000,245000,4.7,66000,27,131
Áo thun tay lỡ form rộng - phông nam nữ oversize - T shirt in tọa độ - 2N Unisex,"""OEM""",https://tiki.vn/product-p217176888.html?spid=217176895,99000,125000,5.0,26000,21,19
"Áo sơ mi nam trơn tay dài cao cấp Lados - 779 chất kate lụa mềm mát, thấm hút mồ hôi","""LADOS""",https://tiki.vn/product-p124635780.html?spid=124635818,116000,235000,4.6,119000,51,946
"Quần Tây Âu Nam Co Giãn Nhẹ Dáng Ôm, Quần Nam Công Sở Lịch Sự Phù Hợp Mọi Hoàn Cảnh Thương Hiệu Chandi Mã NT334","""Chandi""",https://tiki.vn/product-p107186342.html?spid=107186374,179000,299000,4.3,120000,40,257
"Áo Khoác Dù Nam Phối Nón, Dù Thái Nhập Khẩu  ( Tặng 1 áo khoác dù màu ngẫu nhiên ) Dokafashion Siêu Nhẹ Cao Cấp Dành Cho Đi Nắng Đi Mưa EZAK24","""dokafashion""",https://tiki.vn/product-p90984718.html?spid=90984732,209000,339000,4.5,130000,38,13
"Hộp 5 Quần Lót Nam lưng Hàn Quốc hiệu CITYMEN vải thun lạnh 4 chiều cao cấp, sịp nam - LMTK-HANAL ( Giao màu ngẫu nhiên )","""CITYMEN""",https://tiki.vn/product-p145680551.html?spid=145680559,116000,163000,4.7,47000,29,925
Combo 2 quần đùi nam Cotton mặc nhà thoải mái thoáng mát JAMANO- MÀU NGẪU NHIÊN,"""JAMANO""",https://tiki.vn/product-p110704393.html?spid=110704395,99000,140000,4.5,41000,29,251
"Áo Polo nam cổ bẻ ngắn tay, chất liệu vải cá sấu cotton cao cấp, trẻ trung, năng động – FORMEN SHOP – FMPS150","""ARADO FASHION""",https://tiki.vn/product-p82819910.html?spid=82819921,164000,219000,4.8,55000,25,208
"Quần jogger kaki cao cấp Amazing, lưng thun có dây rút, ống bo, thời trang unisex, màu sắc classic dễ phối đồ, có big size ","""Amazing""",https://tiki.vn/product-p91848059.html?spid=91848065,239000,349000,4.7,110000,32,135
"Combo 3 Áo Thun nam HÀNG HIỆU đa phong cách -  ĐB3QC16 (Chọn Màu)- Vải thun cotton có điểm đặc biệt, thân thiện với làn da, co giãn và khả năng thấm hút tốt","""Doka""",https://tiki.vn/product-p22610869.html?spid=179968379,189000,300000,4.5,111000,37,216
"Áo Thể Thao Nam TSIMPLE thun nam tập gym ngắn tay vải thun lạnh thoáng mát, co giãn, chuẩn form nhiều màu","""Tsimple""",https://tiki.vn/product-p99325284.html?spid=99325314,89000,113000,4.7,24000,21,832
"Áo polo nam ngắn tay có cổ ( Tặng 1 quần lót nam ) , Combo 2 áo, DokaFashion regular fit chuẩn hàng xuất, áo phông thun polo nam tay ngắn – EZ235","""dokafashion""",https://tiki.vn/product-p22492292.html?spid=22492294,159000,285000,4.5,126000,44,492
"Combo 5 quần sịp nam, kiểu dáng ôm mông chất thun cotton thấm hút co giãn tốt - FORMEN SHOP - FM5QS005","""ARADO FASHION""",https://tiki.vn/product-p169120359.html?spid=169120361,149000,245000,4.5,96000,39,64
[ Có Ảnh Thật ] Áo thun trơn tay lỡ form rộng unisex - Phông trơn,"""OEM""",https://tiki.vn/product-p74493672.html?spid=74493674,69000,125000,5.0,56000,45,19
Áo hoodie nam nữ form rộng Unisex một màu in hoạt hình cá tính Hàn Quốc – FORMEN SHOP – FMGV034,"""ARADO FASHION""",https://tiki.vn/product-p71909603.html?spid=71909607,127000,199000,4.6,72000,36,352
Combo 5 quần đùi nam mặc nhà Cotton thoải mái thoáng mát Họa Tiết Ngẫu Nhiên - JAMANO,"""JAMANO""",https://tiki.vn/product-p162033134.html?spid=162033142,229000,350000,4.7,121000,35,157
Quần tây âu nam vải dày co giãn không bai màu ống côn dáng Hàn Quốc,"""OEM""",https://tiki.vn/product-p126815833.html?spid=199904147,80000,80000,3.7,0,0,13
"Quần Jean nam basic cao cấp LADOS - 4035 form slimfit, vải đẹp","""LADOS""",https://tiki.vn/product-p126700166.html?spid=126700184,265000,500000,4.6,235000,47,193
Áo Len Cổ Lọ Nam SZone SAL222 Phong Cách Hàn Quốc,"""SZone""",https://tiki.vn/product-p56919853.html?spid=56919870,129000,129000,4.5,0,0,178
Áo thun tay lỡ form rộng unisex - Áo phông nam nữ oversize - T shirt Forest b,"""OEM""",https://tiki.vn/product-p143275087.html?spid=143275092,125000,125000,4.6,0,0,16
Quần Gió Nam Thể Thao FASVIN Vải Gió Đẹp Hàng Nhà Máy Chất Lượng Cao Dùng Khi Thể Thao Hay Mặc Nhà DC20423.HN,"""Fasvin""",https://tiki.vn/product-p195192891.html?spid=195192911,185000,298000,4.8,113000,38,33
Áo khoác dù UV mẫu mới 2024 ( Tặng 1 áo khoác kaki ) - Áo Khoác Chống Nắng đến 98% Chống Thấm Nước Có Túi Trong Kèm Túi Khóa Kéo Phong Cách Trẻ Trung,"""dokafashion""",https://tiki.vn/product-p71985742.html?spid=71985754,199000,298000,4.5,99000,33,190
"Combo 2 quần đùi nam, quần Short Gió nam thể thao Họa Tiết Rằn Ri trẻ trung năng động, thoáng mát co giãn 4 chiều MRM Manlywear","""MRM Manlywear""",https://tiki.vn/product-p154298071.html?spid=189475416,259000,399000,5.0,140000,35,197
Combo 3 quần lót nam Boxer sợi Organic mềm mịn thoáng mát co giãn 4 chiều MRM Manlywear ( TẶNG Đôi Tất Nam Cao Cấp Giao Ngẫu Nhiên),"""MRM Manlywear""",https://tiki.vn/product-p52184516.html?spid=52184518,189000,285000,4.6,96000,34,1210
"Quần tây nam Hàn Quốc ống côn công sở cao cấp Hamino chất vải co giãn nhẹ thoải mái màu đen, xanh đen, ghi, kem - Quần âu nam cao cấp Hàn Quốc ống côn","""OEM""",https://tiki.vn/product-p67231390.html?spid=84776092,79000,79000,3.9,0,0,117
"Quần short kaki nam Amazing, lưng thun có giây rút, vải co giãn nhẹ, màu sắc đa dạng, có big size","""Amazing""",https://tiki.vn/product-p74823287.html?spid=74823367,119000,189000,4.6,70000,37,38
"Áo thun dài tay nam giữ nhiệt co giãn mặc lót chơi thể thao, đá bóng Micado","""Micado""",https://tiki.vn/product-p138381315.html?spid=138381317,39000,60000,4.6,21000,35,16
Quần Túi Hộp Tháo Ống US ARMY U880 Chuyên Phượt Chất Vải Gió Cao Cấp Mau Khô Ống Có Thể Tháo Rời Làm Quần Short -HÀNG CHÍNH HÃNG,"""US ARMY""",https://tiki.vn/product-p111972654.html?spid=174105601,304000,699000,4.5,395000,57,89
"Áo sơ mi nam trơn không nhăn LADOS - 523, Chất vải mềm mát, thấm hút mồ hôi tốt, form slimfit","""LADOS""",https://tiki.vn/product-p126146318.html?spid=126146422,116000,179000,4.6,63000,35,157
Combo 3 Áo thun nam cổ bẻ  ( Tặng 1 áo thun cổ tròn hàng hiệu ) vải cá sấu - EZ338,"""dokafashion""",https://tiki.vn/product-p22760941.html?spid=72322287,279000,406000,4.5,127000,31,223
"Quần Lót Nam sợi thun lạnh thông hơi kháng khuẩn, Quần Sịp Nam co giãn 4 chiều thấm hút mồ hôi cực tốt thương hiệu BAW (combo 3 màu ngẫu nhiên) NT7987","""Baw""",https://tiki.vn/product-p104192913.html?spid=104192917,99000,159000,4.6,60000,38,99
Áo khoác nam áo gió vải dù DOKA STORE cao cấp 2 lớp chống nắng tia UV và chống nước khoát phong cách Hàn Quốc - PS21,"""Doka""",https://tiki.vn/product-p76121693.html?spid=198770922,209000,209000,4.5,0,0,74
Quần Đùi Nam 3 SỌC từ 50kg- 89kg ( màu ngẫu nhiên kg trùng )- Quần Short nam vải thun 3 sọc thể thao mặc nhà,"""dokafashion""",https://tiki.vn/product-p253386535.html?spid=253386539,33000,60000,4.7,27000,45,27
"Combo 2 áo ba lỗ nam, áo 3 lỗ nam, sợi cotton mềm mịn, thấm hút mồ hôi tốt, thoáng mát, mặc thoải mái JAMANO","""JAMANO""",https://tiki.vn/product-p87981660.html?spid=87981809,149000,198000,4.7,49000,25,310
"Combo 2 Áo thun nam Cotton Compact Premium trẻ trung thấm hút mồ hôi, co giãn 4 chiều MRM Manlywear","""MRM Manlywear""",https://tiki.vn/product-p176251118.html?spid=176417799,279000,499000,4.8,220000,44,140
"Áo Thun Nam cổ tròn TSIMPLE áo phông trơn basic tay ngắn vải cotton co giãn, dày dặn , form chuẩn nhiều màu","""Tsimple""",https://tiki.vn/product-p99156609.html?spid=99156613,89000,113000,4.7,24000,21,772
Áo Khoác Nam Áo Khoác Dù Nam Nữ Hai Lớp Chống Nước Chống Nắng Chống Gió Phối Nón Cao Cấp QD54 - ShopN6 (Nhiều Màu),"""N6""",https://tiki.vn/product-p73214429.html?spid=73214439,159000,189000,4.6,30000,16,172
"Quần Bơi Nam Thiết Kế Vảy Cá Mập Cleacco Chống Thấm Nước , Nhanh Khô Tặng Kèm Nón Bơi và Bịt Tai Silicon Cao Cấp","""CLEACCO""",https://tiki.vn/product-p54711023.html?spid=54711025,111000,201000,4.8,90000,45,143
"Quần kaki nam ( Tặng 1 dây nịt da hàng hiệu)  chất vải cotton mềm mịn, co giãn, chống nhăn, nhanh khô, độ bền cao chuẩn phong cách thời trang Dokafashion DKFQKK01","""dokafashion""",https://tiki.vn/product-p220670591.html?spid=220670599,199000,350000,4.5,151000,43,49
"Áo khoác nam chống nắng gió thu đông Doka (DBLS102) chất liệu dù giữ ấm cao cấp màu đen , màu xanh đen , màu xanh rêu ","""Doka""",https://tiki.vn/product-p17912482.html?spid=48541088,139000,229000,4.5,90000,39,404
Combo 2 Quần shorts thể thao nam dạng sọt sport đùi chất thun lạnh 4 chiều cao cấp phù hợp tập gym hay mặc nhà màu trắng và đen DUI-P101 - tặng 1 khẩu trang chống nắng ,"""Doka""",https://tiki.vn/product-p50347611.html?spid=50348115,79000,130000,4.5,51000,39,156
Áo sơ mi nam công sở trung niên dài tay trắng thương hiệu Anton- XA12,"""SOMIANTON""",https://tiki.vn/product-p162148842.html?spid=162230286,225000,325000,4.7,100000,31,41
